#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
8,Sun, Oct 28,Jacksonville,W24-15,Rodgers  186,Green  54,Jones  78
9,Sun, Nov 4,Arizona,W31-17,Rodgers  218,Starks  61,Crabtree  72
#10,BYE WEEK
13,Sun, Dec 2,Minnesota,W23-14,Rodgers  286,Starks  66,Cobb  62
14,Sun, Dec 9,Detroit,W27-20,Rodgers  173,Green  69,Cobb  102
16,Sun, Dec 23,Tennessee,W55-7,Rodgers  342,Grant  80,Jones  100
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Thu, Aug 16,Cleveland,L35-10,Box Score
4,Thu, Aug 30,Kansas City,W24-3,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
WILD,Sun, Jan 5,San Francisco,L23-20,Rodgers  177,Lacy  81,Nelson  62
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Washington,W38-20,Rodgers  480,Starks  132,Jones  178
#4,BYE WEEK
5,Sun, Oct 6,Detroit,W22-9,Rodgers  274,Lacy  99,Jones  127
7,Sun, Oct 20,Cleveland,W31-13,Rodgers  260,Lacy  82,Boykin  103
9,Mon, Nov 4,Chicago,L27-20,Wallace  114,Lacy  150,Nelson  67
10,Sun, Nov 10,Philadelphia,L27-13,Tolzien  280,Lacy  73,Boykin  112
12,Sun, Nov 24,Minnesota,T26-26 OT,Flynn  218,Lacy  110,Jones  80
14,Sun, Dec 8,Atlanta,W22-21,Flynn  258,Lacy  65,Nelson  85
16,Sun, Dec 22,Pittsburgh,L38-31,Flynn  232,Lacy  84,Jones  84
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Fri, Aug 9,Arizona,L17-0,Box Score
3,Fri, Aug 23,Seattle,L17-10,Box Score
