#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
6,Mon, Oct 15,Denver,L35-24,Rivers  241,Mathews  74,Gates  81
#7,BYE WEEK
9,Thu, Nov 1,Kansas City,W31-13,Rivers  220,Mathews  67,Alexander  61
12,Sun, Nov 25,Baltimore,L16-13 OT,Rivers  228,Mathews  72,Alexander  74
13,Sun, Dec 2,Cincinnati,L20-13,Rivers  280,Mathews  26,Alexander  102
15,Sun, Dec 16,Carolina,L31-7,Rivers  121,Brinkley  42,Floyd  39
17,Sun, Dec 30,Oakland,W24-21,Rivers  151,Battle  37,Royal  61
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 9,Green Bay,W21-13,Box Score
2,Sat, Aug 18,Dallas,W28-20,Box Score
#2013 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Mon, Sep 9,Houston,L31-28,Rivers  195,Mathews  33,Gates  49
4,Sun, Sep 29,Dallas,W30-21,Rivers  401,Mathews  62,Gates  136
6,Mon, Oct 14,Indianapolis,W19-9,Rivers  237,Mathews  102,Allen  107
#8,BYE WEEK
10,Sun, Nov 10,Denver,L28-20,Rivers  218,Mathews  59,Gates  62
13,Sun, Dec 1,Cincinnati,L17-10,Rivers  252,Mathews  61,Allen  106
14,Sun, Dec 8,New York,W37-14,Rivers  249,Mathews  103,Allen  59
16,Sun, Dec 22,Oakland,W26-13,Rivers  201,Mathews  99,Royal  54
17,Sun, Dec 29,Kansas City,W27-24 OT,Rivers  229,Mathews  144,Allen  89
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Thu, Aug 8,Seattle,L31-10,Box Score
4,Thu, Aug 29,San Francisco,L41-6,Box Score
