#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
3,Sun, Sep 22,Tampa Bay,W23-3,Brady  225,Blount  65,Dobson  52
6,Sun, Oct 13,New Orleans,W30-27,Brady  269,Ridley  96,Dobson  63
8,Sun, Oct 27,Miami,W27-17,Brady  116,Ridley  79,Dobson  60
9,Sun, Nov 3,Pittsburgh,W55-31,Brady  432,Ridley  115,Gronkowski  143
#10,BYE WEEK
12,Sun, Nov 24,Denver,W34-31 OT,Brady  344,Bolden  58,Edelman  110
14,Sun, Dec 8,Cleveland,W27-26,Brady  418,Blount  42,Vereen  153
17,Sun, Dec 29,Buffalo,W34-20,Brady  122,Blount  189,Edelman  65
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Fri, Aug 16,Tampa Bay,W25-21,Box Score
4,Thu, Aug 29,New York,W28-20,Box Score
