#2002 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
#8,BYE WEEK
9,Sun, Nov 4,Buffalo,W21-9,Schaub  268,Foster  111,Johnson  118
11,Sun, Nov 18,Jacksonville,W43-37 OT,Schaub  527,Foster  90,Johnson  273
15,Sun, Dec 16,Indianapolis,W29-17,Schaub  261,Foster  165,Johnson  151
16,Sun, Dec 23,Minnesota,L23-6,Schaub  178,Tate  17,Johnson  97
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 18,San Francisco,W20-9,Box Score
4,Thu, Aug 30,Minnesota,W28-24,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
2,Sun, Sep 15,Tennessee,W30-24 OT,Schaub  298,Tate  93,Hopkins  117
4,Sun, Sep 29,Seattle,L23-20 OT,Schaub  355,Foster  102,Johnson  110
6,Sun, Oct 13,St. Louis,L38-13,Schaub  186,Foster  141,Johnson  88
#8,BYE WEEK
9,Sun, Nov 3,Indianapolis,L27-24,Keenum  350,Tate  81,Johnson  229
11,Sun, Nov 17,Oakland,L28-23,Keenum  170,Tate  88,Graham  136
12,Sun, Nov 24,Jacksonville,L13-6,Keenum  169,Johnson  74,Griffin  37
13,Sun, Dec 1,New England,L34-31,Keenum  272,Tate  102,Johnson  121
16,Sun, Dec 22,Denver,L37-13,Schaub  176,Karim  30,Griffin  66
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sat, Aug 17,Miami,W24-17,Box Score
3,Sun, Aug 25,New Orleans,L31-23,Box Score
