#2002 Postseason Schedule
RND,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
17,Sun, Dec 30,Cleveland,W24-10,Roethlisberger  134,Dwyer  52,Sanders  28
#2012 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
2,Sun, Aug 19,Indianapolis,W26-24,Box Score
4,Thu, Aug 30,Carolina,W17-16,Box Score
#2013 Regular Season Schedule
WK,DATE,PONENT,RESULT,HI PASSING,HI RUSHING,HI RECEIVING
1,Sun, Sep 8,Tennessee,L16-9,Roethlisberger  191,Stephens-Howling  19,Brown  71
3,Sun, Sep 22,Chicago,L40-23,Roethlisberger  406,Dwyer  39,Brown  196
#5,BYE WEEK
7,Sun, Oct 20,Baltimore,W19-16,Roethlisberger  160,Bell  93,Brown  50
10,Sun, Nov 10,Buffalo,W23-10,Roethlisberger  204,Bell  57,Brown  104
11,Sun, Nov 17,Detroit,W37-27,Roethlisberger  367,Bell  36,Brown  147
14,Sun, Dec 8,Miami,L34-28,Roethlisberger  349,Bell  61,Brown  138
15,Sun, Dec 15,Cincinnati,W30-20,Roethlisberger  191,Bell  57,Brown  66
17,Sun, Dec 29,Cleveland,W20-7,Roethlisberger  179,Bell  90,Brown  87
#2013 Preseason Schedule
WK,DATE,PONENT,RESULT,RESOURCES
1,Sat, Aug 10,New York,L18-13,Box Score
3,Sat, Aug 24,Kansas City,L26-20 OT,Box Score
