# Receiving,Rushing,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,Att,Yds,Y/A,Lng,TD,Fum,FumL
DALTE003,CIN,2001,4,1,N/A,7,7.0,7,0,0,0,N/A,N/A,0,0,0
DENTE010,BAL,2001,4,3,N/A,57,19.0,32,0,0,0,N/A,N/A,0,0,0
BUFTE017,TAM,2001,4,3,N/A,18,6.0,7,0,0,0,N/A,N/A,0,0,0
PHITE001,PHI,2001,4,2,N/A,8,4.0,7,0,0,0,N/A,N/A,0,0,0
CHITE001,CHI,2001,4,2,N/A,9,4.5,6,0,0,0,N/A,N/A,0,0,0
NORTE009,DET,2001,4,2,N/A,35,17.5,24,0,0,0,N/A,N/A,0,0,0
PITTE005,BUF,2001,4,4,N/A,35,8.8,16,1,0,0,N/A,N/A,0,0,0
ARITE005,SDG,2001,4,3,N/A,23,7.7,13,0,0,0,N/A,N/A,0,0,0
ATLTE003,KAN,2001,4,8,N/A,129,16.1,35,0,0,0,N/A,N/A,0,0,0
JACTE007,JAC,2001,4,1,N/A,18,18.0,18,0,0,0,N/A,N/A,0,0,0
TAMTE004,CLE,2001,4,3,N/A,63,21.0,27,0,0,0,N/A,N/A,0,0,0
WASTE005,CIN,2001,4,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
JACTE003,DET,2001,4,3,N/A,13,4.3,5,0,0,0,N/A,N/A,0,0,0
WASTE010,MIN,2001,4,2,N/A,48,24.0,29,1,0,0,N/A,N/A,0,0,0
NORTE008,STL,2001,4,4,N/A,22,5.5,8,1,0,0,N/A,N/A,0,0,0
GNBTE009,CAR,2001,4,10,N/A,91,9.1,15,1,0,0,N/A,N/A,0,0,0
CLETE010,SDG,2001,5,1,N/A,3,3.0,3,1,0,0,N/A,N/A,0,0,0
ARITE012,PIT,2001,5,1,N/A,23,23.0,23,0,0,0,N/A,N/A,0,0,0
CHITE006,DEN,2001,5,2,N/A,17,8.5,9,0,0,0,N/A,N/A,0,0,0
MINTE007,MIN,2001,5,0,N/A,0,N/A,N/A,0,1,2,2.0,2,0,0,0
CINTE008,ATL,2001,5,1,N/A,9,9.0,9,0,0,0,N/A,N/A,0,0,0
DETTE008,KAN,2001,5,2,N/A,30,15.0,23,0,0,0,N/A,N/A,0,0,0
STLTE012,OAK,2001,5,1,N/A,14,14.0,14,0,0,0,N/A,N/A,0,0,0
ARITE003,ARI,2001,5,1,N/A,10,10.0,10,0,0,0,N/A,N/A,0,0,0
NWETE005,MIA,2001,5,2,N/A,13,6.5,7,0,0,0,N/A,N/A,0,0,0
SFOTE008,SFO,2001,5,1,N/A,8,8.0,8,0,0,0,N/A,N/A,0,0,0
NWETE009,ATL,2001,5,2,N/A,58,29.0,47,0,0,0,N/A,N/A,0,0,0
BUFTE016,GNB,2001,5,1,N/A,9,9.0,9,0,0,0,N/A,N/A,0,0,0
NORTE004,SFO,2001,5,3,N/A,11,3.7,6,0,0,0,N/A,N/A,0,0,0
MINTE002,NWE,2001,5,1,N/A,3,3.0,3,1,0,0,N/A,N/A,0,0,0
TENTE011,TEN,2001,5,1,N/A,1,1.0,1,0,0,0,N/A,N/A,0,0,0
NYJTE007,GNB,2001,5,2,N/A,4,2.0,2,2,0,0,N/A,N/A,0,0,0
KANTE008,NYJ,2001,5,4,N/A,31,7.8,14,0,0,0,N/A,N/A,0,0,0
STLTE007,NOR,2001,5,3,N/A,38,12.7,16,2,0,0,N/A,N/A,0,0,0
DENTE009,DEN,2001,5,1,N/A,0,0.0,0,0,0,0,N/A,N/A,0,0,0
HOUTE002,PIT,2001,5,1,N/A,6,6.0,6,0,0,0,N/A,N/A,0,0,0
CARTE006,SEA,2001,5,1,N/A,12,12.0,12,0,0,0,N/A,N/A,0,0,0
CHITE001,CHI,2001,5,3,N/A,26,8.7,14,0,0,0,N/A,N/A,0,0,0
TAMTE007,IND,2001,5,1,N/A,11,11.0,11,0,0,0,N/A,N/A,0,0,0
TENTE009,TEN,2001,5,4,N/A,38,9.5,18,0,0,0,N/A,N/A,0,0,0
DENTE010,BAL,2001,5,5,N/A,41,8.2,13,0,0,0,N/A,N/A,0,0,0
BUFTE017,TAM,2001,5,2,N/A,13,6.5,8,1,0,0,N/A,N/A,0,0,0
DALTE009,STL,2001,5,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
NORTE009,DET,2001,5,4,N/A,63,15.8,23,0,0,0,N/A,N/A,0,0,0
JACTE003,DET,2001,5,1,N/A,4,4.0,4,0,0,0,N/A,N/A,0,0,0
MINTE005,MIA,2001,5,2,N/A,14,7.0,9,0,0,0,N/A,N/A,0,0,0
ARITE005,SDG,2001,5,2,N/A,15,7.5,8,0,0,0,N/A,N/A,0,0,0
ATLTE003,KAN,2001,5,5,N/A,46,9.2,11,0,0,0,N/A,N/A,0,0,0
WASTE005,CIN,2001,5,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,1,0
NORTE008,STL,2001,5,1,N/A,10,10.0,10,0,0,0,N/A,N/A,0,0,0
SEATE007,IND,2001,5,5,N/A,53,10.6,28,0,0,0,N/A,N/A,0,0,0
WASTE010,MIN,2001,5,2,N/A,20,10.0,16,0,0,0,N/A,N/A,0,0,0
GNBTE009,CAR,2001,5,5,N/A,61,12.2,23,1,0,0,N/A,N/A,0,0,0
TENTE009,TEN,2001,6,7,N/A,100,14.3,29,1,1,1,1.0,1,0,0,0
DETTE008,KAN,2001,6,2,N/A,29,14.5,19,0,0,0,N/A,N/A,0,0,0
ARITE003,ARI,2001,6,1,N/A,1,1.0,1,0,0,0,N/A,N/A,0,0,0
MINTE007,MIN,2001,6,1,N/A,6,6.0,6,0,5,20,4.0,11,1,0,0
STLTE007,NOR,2001,6,1,N/A,19,19.0,19,1,0,0,N/A,N/A,0,0,0
ATLTE007,DET,2001,6,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
PHITE007,PHI,2001,6,1,N/A,15,15.0,15,0,0,0,N/A,N/A,0,0,0
DENTE009,DEN,2001,6,1,N/A,12,12.0,12,0,0,0,N/A,N/A,0,0,0
CLETE010,SDG,2001,6,1,N/A,6,6.0,6,0,0,0,N/A,N/A,0,0,0
JACTE007,JAC,2001,6,2,N/A,25,12.5,13,0,0,0,N/A,N/A,0,0,0
CHITE006,DEN,2001,6,6,N/A,54,9.0,13,1,0,0,N/A,N/A,0,0,0
CLETE013,CLE,2001,6,1,N/A,2,2.0,2,0,0,0,N/A,N/A,0,0,0
MINTE002,NWE,2001,6,1,N/A,2,2.0,2,1,0,0,N/A,N/A,0,0,0
NWETE009,ATL,2001,6,5,N/A,78,15.6,57,1,0,0,N/A,N/A,0,0,0
TENTE011,TEN,2001,6,2,N/A,14,7.0,8,0,0,0,N/A,N/A,0,0,0
KANTE008,NYJ,2001,6,5,N/A,35,7.0,9,2,0,0,N/A,N/A,0,0,0
OAKTE009,CLE,2001,6,1,N/A,27,27.0,27,0,0,0,N/A,N/A,0,0,0
JACTE014,JAC,2001,6,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
NYJTE007,GNB,2001,6,2,N/A,9,4.5,7,1,0,0,N/A,N/A,0,0,0
ARITE012,PIT,2001,6,1,N/A,32,32.0,32,1,0,0,N/A,N/A,0,0,0
ATLTE003,KAN,2001,6,4,N/A,58,14.5,25,0,0,0,N/A,N/A,0,0,0
TAMTE007,IND,2001,6,2,N/A,32,16.0,25,0,0,0,N/A,N/A,0,0,0
NWETE002,JAC,2001,6,3,N/A,36,12.0,20,1,0,0,N/A,N/A,0,0,0
