# Receiving,Kickoff Returns,Punt Returns,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,KR,Yds,Avg,Long,TD,PR,Yds,Avg,Long,TD,Fum,FumL
ARIWR003,DET,2001,2,3,N/A,25,8.3,11,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR016,TEN,2001,2,1,N/A,19,19.0,19,0,0,11,N/A,11,0,0,0,N/A,N/A,0,0,0
ATLWR012,CHI,2001,2,1,N/A,7,7.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR009,CIN,2001,2,2,N/A,12,6.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR001,PHI,2001,2,1,N/A,6,6.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR015,BAL,2001,2,4,N/A,44,11.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR016,NYG,2001,2,0,N/A,0,N/A,N/A,0,1,23,23.0,23,0,0,0,N/A,N/A,0,0,0
CINWR002,NYJ,2001,2,3,N/A,24,8.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR025,MIN,2001,2,0,N/A,0,N/A,N/A,0,3,78,26.0,37,0,5,37,7.4,13,0,1,0
DENWR020,SEA,2001,2,2,N/A,9,4.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR005,CLE,2001,2,1,N/A,3,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR003,MIN,2001,2,5,N/A,81,16.2,25,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR009,STL,2001,2,1,N/A,25,25.0,25,1,0,0,N/A,N/A,0,3,47,15.7,32,0,0,0
DALWR004,DAL,2001,2,2,N/A,83,41.5,80,1,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR015,NWE,2001,2,5,N/A,82,16.4,58,0,0,0,N/A,N/A,0,4,44,11.0,22,0,0,0
JACWR010,JAC,2001,2,1,N/A,16,16.0,16,0,0,0,0,0,0,0,0,0,0,0,1,0
SFOWR001,SDG,2001,2,4,N/A,68,17.0,36,1,0,0,0,0,0,0,0,0,0,0,0,0
DALWR017,CIN,2001,2,5,N/A,82,16.4,41,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR011,NWE,2001,2,5,N/A,53,10.6,21,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR015,MIA,2001,2,3,N/A,48,16.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR006,STL,2001,2,8,N/A,144,18.0,39,1,0,0,0,0,0,0,0,0,0,0,1,1
TAMWR017,GNB,2001,2,1,N/A,41,41.0,41,1,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR021,DET,2001,2,6,N/A,100,16.7,26,1,0,0,0,0,0,0,0,0,0,0,0,0
INDWR015,BAL,2001,2,4,N/A,62,15.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR017,MIN,2001,2,1,N/A,4,4.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
INDWR001,STL,2001,2,2,N/A,24,12.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR018,ATL,2001,2,2,N/A,30,15.0,18,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMWR003,OAK,2001,2,3,N/A,20,6.7,9,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR009,OAK,2001,2,1,N/A,7,7.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PITWR008,ATL,2001,2,2,N/A,34,17.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
SDGWR003,SDG,2001,2,6,N/A,94,15.7,34,0,0,0,0,0,0,0,0,0,0,0,0,0
JACWR014,JAC,2001,2,7,N/A,87,12.4,28,0,0,0,N/A,N/A,0,0,0,N/A,N/A,0,0,0
WASWR012,JAC,2001,2,4,N/A,49,12.3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR004,MIN,2001,2,4,N/A,27,6.8,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR008,WAS,2001,2,4,N/A,23,5.8,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BUFWR014,NWE,2001,2,2,N/A,18,9.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
CINWR007,SFO,2001,2,5,N/A,51,10.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR010,DEN,2001,2,2,N/A,12,6.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR008,NYG,2001,2,5,N/A,51,10.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
INDWR024,IND,2001,2,7,N/A,146,20.9,39,3,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR018,MIA,2001,2,5,N/A,70,14.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
BALWR009,ARI,2001,2,4,N/A,28,7.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
MINWR006,CHI,2001,2,7,N/A,99,14.1,24,1,0,0,0,0,0,0,0,0,0,0,0,0
WASWR010,PHI,2001,2,10,N/A,165,16.5,64,2,0,0,0,0,0,0,0,0,0,0,0,0
HOUWR020,TEN,2001,2,1,N/A,4,4.0,4,0,1,14,14.0,14,0,0,0,N/A,N/A,0,0,0
DALWR002,MIA,2001,2,2,N/A,29,14.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR026,SEA,2001,2,2,N/A,28,14.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
NYJWR020,WAS,2001,2,3,N/A,36,12.0,17,0,0,0,0,0,0,0,0,0,0,0,1,1
NYJWR025,NYJ,2001,2,5,N/A,53,10.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0
WASWR016,DAL,2001,2,2,N/A,33,16.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR014,SFO,2001,2,1,N/A,5,5.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIWR013,CAR,2001,2,10,N/A,132,13.2,38,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR030,KAN,2001,2,4,N/A,62,15.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR015,TEN,2001,2,1,N/A,9,9.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
TENWR008,BUF,2001,2,2,N/A,14,7.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
DENWR011,DEN,2001,2,14,N/A,162,11.6,34,2,0,0,0,0,0,0,0,0,0,0,0,0
SDGWR006,SDG,2001,2,1,N/A,7,7.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR010,GNB,2001,2,4,N/A,37,9.3,12,1,0,0,N/A,N/A,0,5,39,7.8,15,0,0,0
CHIWR007,SFO,2001,2,0,0,0,0,0,0,5,122,24.4,33,0,1,19,19.0,19,0,0,0
CARWR023,CAR,2001,2,0,0,0,0,0,0,2,41,20.5,22,0,0,0,N/A,N/A,0,0,0
PITWR007,SFO,2001,2,0,0,0,0,0,0,1,34,34.0,34,0,0,0,N/A,N/A,0,0,0
ARIWR013,ARI,2001,2,0,0,0,0,0,0,0,0,N/A,N/A,0,3,37,12.3,29,0,0,0
STLWR016,KAN,2001,2,0,0,0,0,0,0,2,42,21.0,21,0,2,15,7.5,13,0,0,0
NWEWR005,DEN,2001,2,0,0,0,0,0,0,2,53,26.5,29,0,0,0,N/A,N/A,0,0,0
OAKWR016,OAK,2001,2,0,0,0,0,0,0,3,63,21.0,28,0,1,23,23.0,23,0,0,0
BALWR012,MIA,2001,2,0,0,0,0,0,0,0,0,N/A,N/A,0,4,55,13.8,19,0,0,0
DETWR023,DET,2001,2,0,0,0,0,0,0,5,128,25.6,37,0,3,8,2.7,5,0,0,0
ATLWR014,JAC,2001,2,0,0,0,0,0,0,2,47,23.5,27,0,5,34,6.8,13,0,0,0
STLWR011,STL,2001,2,0,0,0,0,0,0,1,23,23.0,23,0,0,0,N/A,N/A,0,0,0
STLWR013,IND,2001,2,0,0,0,0,0,0,4,97,24.3,29,0,3,16,5.3,10,0,0,0
MIAWR011,WAS,2001,2,0,0,0,0,0,0,2,17,8.5,17,0,0,0,N/A,N/A,0,0,0
DALWR007,BUF,2001,3,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,1,5,5.0,5,0,0,0
DETWR016,CLE,2001,3,6,N/A,80,13.3,23,0,0,0,N/A,N/A,0,2,24,12.0,17,0,0,0
DETWR026,PIT,2001,3,2,N/A,7,3.5,6,0,1,12,12.0,12,0,0,0,N/A,N/A,0,0,0
MIAWR005,ARI,2001,3,4,N/A,49,12.3,21,0,0,0,0,0,0,0,0,0,0,0,0,0
NYGWR010,BAL,2001,3,1,N/A,3,3.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR014,KAN,2001,3,1,N/A,11,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIWR006,ARI,2001,3,2,N/A,26,13.0,18,0,4,78,19.5,24,0,0,0,N/A,N/A,0,0,0
DETWR020,SFO,2001,3,2,N/A,15,7.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0
DALWR013,DAL,2001,3,1,N/A,21,21.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
NORWR003,DAL,2001,3,1,N/A,5,5.0,5,0,0,0,N/A,N/A,0,3,20,6.7,17,0,1,1
JACWR029,STL,2001,3,4,N/A,111,27.8,45,1,0,0,0,0,0,0,0,0,0,0,0,0
CARWR006,CAR,2001,3,1,N/A,-1,-1.0,-1,0,1,19,19.0,19,0,1,22,22.0,22,0,0,0
CLEWR022,NYG,2001,3,2,N/A,60,30.0,46,1,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR017,IND,2001,3,5,N/A,57,11.4,22,0,1,13,13.0,13,0,0,0,N/A,N/A,0,0,0
WASWR011,TAM,2001,3,3,N/A,54,18.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR003,MIN,2001,3,5,N/A,86,17.2,39,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR010,MIN,2001,3,5,N/A,62,12.4,24,1,0,0,0,0,0,0,0,0,0,0,0,0
PITWR012,PIT,2001,3,9,N/A,79,8.8,17,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEWR003,CLE,2001,3,3,N/A,34,11.3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR011,GNB,2001,3,4,N/A,49,12.3,21,1,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR019,SDG,2001,3,1,N/A,7,7.0,7,0,0,0,N/A,N/A,0,4,24,6.0,7,0,0,0
NWEWR006,CAR,2001,3,4,N/A,52,13.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR009,ATL,2001,3,2,N/A,33,16.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0
STLWR013,IND,2001,3,3,N/A,15,5.0,7,0,5,104,20.8,26,0,2,4,2.0,2,0,0,0
DENWR023,CLE,2001,3,2,N/A,32,16.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR013,PHI,2001,3,1,N/A,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR023,WAS,2001,3,5,N/A,55,11.0,26,1,0,0,0,0,0,0,0,0,0,0,0,0
GNBWR013,SEA,2001,3,5,N/A,78,15.6,21,0,0,0,0,0,0,0,0,0,0,0,0,0
NWEWR013,CIN,2001,3,2,N/A,28,14.0,20,1,0,0,0,0,0,0,0,0,0,0,0,0
