# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
GNBDE0115,NOR,2001,4,2,0,2,1.0,7,0,0,0,0,0
JACDE0229,PIT,2001,4,1,0,1,0.0,0,0,0,0,0,0
BUFDE0046,BUF,2001,4,0,1,1,0.0,0,0,0,0,0,0
SFODE0375,SFO,2001,4,0,0,0,0.0,0,0,0,0,0,1
CINDE0036,CIN,2001,4,6,0,6,0.0,0,0,0,0,0,0
TAMDE0363,TEN,2001,4,2,1,3,0.0,0,0,0,0,0,0
MIADE0219,CAR,2001,4,1,1,2,0.0,0,0,0,0,0,0
NWEDE0147,NYJ,2001,4,2,1,3,1.0,7,0,0,0,0,0
SDGDE0035,SDG,2001,4,1,0,1,1.0,6,0,0,0,0,0
NYGDE0320,NYG,2001,4,3,1,4,1.5,12,0,0,0,1,0
DETDE0012,DET,2001,4,1,0,1,1.0,7,0,0,0,0,0
PHIDE0053,SEA,2001,4,0,1,1,0.5,9,0,0,0,0,0
NWEDE0132,NWE,2001,4,2,2,4,0.0,0,0,0,0,0,1
DETDE0168,DET,2001,4,1,0,1,0.0,0,0,0,0,0,0
CARDE0054,CAR,2001,4,3,1,4,0.0,0,0,0,0,0,0
DENDE0147,SDG,2001,4,3,0,3,1.0,8,0,0,0,0,0
BALDE0034,BAL,2001,4,4,1,5,2.0,10,0,0,0,0,0
TAMDE0159,STL,2001,4,1,1,2,0.0,0,0,0,0,0,1
HOUDE0199,JAC,2001,4,1,2,3,0.0,0,0,0,0,0,0
PHIDE0180,PHI,2001,4,4,0,4,0.0,0,0,0,0,0,1
NYJDE0054,TAM,2001,4,1,0,1,0.0,0,0,0,0,0,0
WASDE0520,CHI,2001,4,4,1,5,1.0,7,0,0,0,1,0
BUFDE0154,CLE,2001,4,3,0,3,0.0,0,0,0,0,0,2
CLEDE0367,NWE,2001,4,1,2,3,0.0,0,0,0,0,0,0
DENDE0259,WAS,2001,4,11,2,13,0.0,0,0,0,0,1,0
NYGDE0114,NYG,2001,4,3,1,4,0.0,0,0,0,0,0,0
CINDE0041,CIN,2001,4,2,0,2,0.0,0,0,0,0,0,0
JACDE0331,SDG,2001,4,7,1,8,1.0,6,0,0,0,0,0
OAKDE0221,MIN,2001,4,0,1,1,0.0,0,0,0,0,0,0
ATLDE0206,ATL,2001,4,3,0,3,1.0,9,0,0,0,0,0
SFODE0295,ATL,2001,4,2,0,2,0.0,0,0,0,0,0,0
KANDE0065,KAN,2001,4,0,1,1,0.0,0,0,0,0,0,0
NYGDE0153,DEN,2001,4,3,1,4,0.0,0,0,0,0,0,0
CINDE0147,KAN,2001,4,1,2,3,0.0,0,0,0,0,0,0
