# Rushing,Receiving,Fumbles
# PID,TID,Season,Week,Att,Yds,Y/A,Lng,TD,Rec,Tgt,Yds,Y/R,Lng,TD,Fum,FumL
CHIRB011,NWE,2001,6,3,14,4.7,10,0,2,N/A,16,8.0,11,0,0,0
TAMRB003,NYJ,2001,6,0,0,N/A,N/A,0,1,N/A,19,19.0,19,0,0,0
HOURB005,CHI,2001,6,7,17,2.4,5,0,2,N/A,6,3.0,3,0,0,0
BALRB006,BAL,2001,6,3,12,4.0,7,0,0,N/A,0,N/A,N/A,0,0,0
TENRB017,TEN,2001,6,1,2,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
NYGRB011,NYG,2001,6,13,55,4.2,13,0,5,N/A,25,5.0,11,0,0,0
NWERB001,CIN,2001,6,16,30,1.9,10,0,0,N/A,0,N/A,N/A,0,0,0
MINRB019,MIN,2001,6,1,15,15.0,15,0,0,N/A,0,N/A,N/A,0,0,0
STLRB010,WAS,2001,6,26,99,3.8,24,0,2,N/A,20,10.0,15,0,1,1
MINRB012,BAL,2001,6,1,2,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
SFORB006,CAR,2001,6,0,0,N/A,N/A,0,3,N/A,1,0.3,2,0,0,0
CARRB008,CIN,2001,6,2,0,0.0,2,0,1,N/A,10,10.0,10,0,0,0
NORRB005,NWE,2001,6,21,71,3.4,19,0,0,N/A,0,N/A,N/A,0,0,0
ATLRB015,TAM,2001,6,13,31,2.4,9,0,2,N/A,16,8.0,11,0,0,0
TENRB016,STL,2001,6,5,30,6.0,11,0,0,N/A,0,N/A,N/A,0,1,1
WASRB010,STL,2001,7,12,19,1.6,6,1,10,N/A,107,10.7,23,0,2,2
WASRB016,SEA,2001,7,23,87,3.8,11,0,1,N/A,9,9.0,9,0,2,2
HOURB023,NYG,2001,7,8,19,2.4,9,0,0,N/A,0,N/A,N/A,0,1,0
KANRB011,ARI,2001,7,1,-1,-1.0,-1,0,4,N/A,21,5.3,10,0,0,0
MINRB018,MIN,2001,7,1,1,1.0,1,1,0,N/A,0,N/A,N/A,0,0,0
OAKRB003,NWE,2001,7,1,0,0.0,0,0,1,N/A,-3,-3.0,-3,0,0,0
DETRB011,NOR,2001,7,2,4,2.0,6,0,0,N/A,0,N/A,N/A,0,1,0
MINRB009,MIN,2001,7,5,8,1.6,4,0,2,N/A,14,7.0,4,0,0,0
NYGRB016,DET,2001,7,1,1,1.0,1,0,0,N/A,0,N/A,N/A,0,0,0
HOURB001,JAC,2001,7,2,8,4.0,5,0,2,N/A,10,5.0,11,1,0,0
PHIRB003,PHI,2001,7,0,0,N/A,N/A,0,2,N/A,7,3.5,7,0,0,0
BALRB018,NOR,2001,7,17,77,4.5,19,0,4,N/A,19,4.8,18,0,1,1
SEARB004,IND,2001,7,27,102,3.8,20,0,2,N/A,9,4.5,5,0,0,0
ARIRB006,BAL,2001,7,6,24,4.0,10,0,2,N/A,0,0.0,7,0,0,0
MIARB014,MIA,2001,7,0,0,N/A,N/A,0,1,N/A,15,15.0,15,0,0,0
NWERB010,NWE,2001,7,5,12,2.4,4,0,4,N/A,26,6.5,8,0,1,0
DETRB028,DEN,2001,7,10,37,3.7,9,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB017,ARI,2001,7,0,0,N/A,N/A,0,1,N/A,8,8.0,8,0,0,0
NWERB012,PIT,2001,7,7,17,2.4,17,0,0,N/A,0,N/A,N/A,0,0,0
JACRB007,JAC,2001,7,2,6,3.0,4,0,0,N/A,0,N/A,N/A,0,0,0
DALRB002,DAL,2001,7,1,12,12.0,12,0,1,N/A,8,8.0,8,0,0,0
STLRB002,MIA,2001,7,2,11,5.5,10,0,0,N/A,0,N/A,N/A,0,0,0
