STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_FG_Pct,K_Lng,K_XPM,K_XPA,K_XP_Pct,K_Pts
HOUKK002,ARI,2004,4,0,0,1,1,1,1,0,0,0,0,2,2,100.0,33,4,4,100.0,10
MINKK001,CHI,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100.0,25,0,0,N/A,3
OAKKK001,OAK,2004,4,0,0,0,0,0,1,0,0,1,1,1,2,50.0,50,2,2,100.0,5
SDGKK001,HOU,2004,4,0,0,1,1,0,0,2,2,0,1,3,4,75.0,46,3,3,100.0,12
DETKK001,PHI,2004,4,0,0,0,0,0,1,3,4,1,1,4,6,66.7,51,1,1,100.0,13
NORKK003,TAM,2004,4,0,0,1,1,1,1,0,0,0,0,2,2,100.0,30,1,1,100.0,7
TAMKK001,BUF,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100.0,33,2,2,100.0,5
ARIKK001,ATL,2004,4,0,0,0,0,1,1,1,1,0,0,2,2,100.0,47,3,3,100.0,9
JACKK001,JAC,2004,4,0,0,1,1,0,1,2,2,0,0,3,4,75.0,48,0,0,N/A,9
NYGKK001,KAN,2004,4,0,0,0,0,1,1,1,1,0,0,2,2,100.0,42,3,3,100.0,9
MIAKK001,SDG,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100.0,31,5,5,100.0,8
SFOKK001,PIT,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100.0,4
NORKK004,CIN,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100.0,34,2,2,100.0,5
DALKK003,IND,2004,4,0,0,0,0,0,0,1,1,0,0,1,1,100.0,46,3,3,100.0,6
BALKK002,BAL,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
ATLKK002,DEN,2004,4,0,0,1,1,0,0,1,1,1,1,3,3,100.0,50,1,1,100.0,10
CHIKK003,NYJ,2004,4,0,0,0,0,0,0,0,0,1,1,1,1,100.0,53,2,2,100.0,5
NORKK002,CAR,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100.0,26,1,1,100.0,4
INDKK003,BAL,2004,4,0,0,0,0,0,0,0,0,1,1,1,1,100.0,50,3,3,100.0,6
NYGKK002,NOR,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100.0,20,1,1,100.0,4
NYGKK004,NYG,2004,4,0,0,0,0,0,2,0,1,0,0,0,3,0.0,N/A,2,2,100.0,2
ATLKK001,SFO,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
STLKK001,STL,2004,4,0,0,1,1,0,1,0,0,0,0,1,2,50.0,20,3,3,100.0,6
WASKK005,WAS,2004,4,0,0,1,1,1,1,0,0,0,0,2,2,100.0,31,1,1,100.0,7
SFOKK003,CLE,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100.0,30,2,2,100.0,5
MINKK002,GNB,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100.0,1
CHIKK001,MIA,2004,4,0,0,1,1,2,2,0,0,0,0,3,3,100.0,37,0,0,N/A,9
INDKK002,NWE,2004,4,0,0,0,0,0,0,1,1,0,0,1,1,100.0,42,4,4,100.0,7
TENKK001,TEN,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100.0,24,2,2,100.0,5
TAMKK001,BUF,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100.0,2
ARIKK001,ATL,2004,5,0,0,1,1,0,0,0,0,0,0,1,1,100.0,27,1,1,100.0,4
HOUKK002,ARI,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100.0,4
OAKKK001,OAK,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100.0,2
NORKK003,TAM,2004,5,0,0,1,1,0,0,0,1,1,1,2,3,66.7,53,2,2,100.0,8
SDGKK001,HOU,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100.0,4
WASKK004,DAL,2004,5,0,0,0,0,0,0,1,1,0,1,1,2,50.0,41,1,1,100.0,4
ATLKK003,IND,2004,5,0,0,0,0,0,0,0,1,0,0,0,1,0.0,N/A,5,5,100.0,5
MIAKK001,SDG,2004,5,0,0,2,2,0,0,0,0,0,0,2,2,100.0,28,4,4,100.0,10
JACKK001,JAC,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100.0,3
BALKK003,MIN,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
NYGKK003,SEA,2004,5,0,0,0,0,1,1,1,2,0,0,2,3,66.7,48,3,3,100.0,9
SFOKK001,PIT,2004,5,0,0,1,1,0,0,1,1,0,0,2,2,100.0,47,4,4,100.0,10
BALKK002,BAL,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
SFOKK003,CLE,2004,5,0,0,1,1,1,1,1,1,0,0,3,3,100.0,46,2,2,100.0,11
NORKK002,CAR,2004,5,0,0,0,0,0,0,0,0,1,2,1,2,50.0,53,2,2,100.0,5
DETKK002,DET,2004,5,0,0,1,1,0,0,0,1,0,0,1,2,50.0,23,2,2,100.0,5
INDKK003,BAL,2004,5,0,0,0,0,1,1,0,0,0,0,1,1,100.0,33,2,2,100.0,5
NYGKK004,NYG,2004,5,0,0,1,1,1,1,1,1,1,1,4,4,100.0,51,2,2,100.0,14
TENKK001,TEN,2004,5,0,0,0,0,2,2,0,1,0,0,2,3,66.7,38,6,6,100.0,12
NYGKK002,NOR,2004,5,0,0,0,0,0,0,1,1,0,0,1,1,100.0,47,2,2,100.0,5
ATLKK002,DEN,2004,5,0,0,0,0,2,2,0,0,0,0,2,2,100.0,33,2,2,100.0,8
CHIKK003,NYJ,2004,5,0,0,0,1,3,3,0,0,0,0,3,4,75.0,38,1,1,100.0,10
