STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_Pct,K_Lng,K_XPM,K_XPA,K_Pct,K_Pts
DALKK0045,IND,2004,4,0,0,0,0,0,0,1,1,0,0,1,1,100,46,3,3,100,6
BALKK0028,BAL,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
ATLKK0089,DEN,2004,4,0,0,1,1,0,0,1,1,1,1,3,3,100,50,1,1,100,10
CHIKK0019,NYJ,2004,4,0,0,0,0,0,0,0,0,1,1,1,1,100,53,2,2,100,5
NORKK0133,CAR,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100,26,1,1,100,4
INDKK0117,BAL,2004,4,0,0,0,0,0,0,0,0,1,1,1,1,100,50,3,3,100,6
NORKK0106,NOR,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100,20,1,1,100,4
NYGKK0016,NYG,2004,4,0,0,0,0,0,2,0,1,0,0,0,3,0,N/A,2,2,100,2
ATLKK0032,SFO,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
STLKK0064,STL,2004,4,0,0,1,1,0,1,0,0,0,0,1,2,50,20,3,3,100,6
WASKK0036,WAS,2004,4,0,0,1,1,1,1,0,0,0,0,2,2,100,31,1,1,100,7
SFOKK0159,CLE,2004,4,0,0,0,0,1,1,0,0,0,0,1,1,100,30,2,2,100,5
MINKK0143,GNB,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100,1
CHIKK0144,MIA,2004,4,0,0,1,1,2,2,0,0,0,0,3,3,100,37,0,0,N/A,9
INDKK0180,NWE,2004,4,0,0,0,0,0,0,1,1,0,0,1,1,100,42,4,4,100,7
TENKK0016,TEN,2004,4,0,0,1,1,0,0,0,0,0,0,1,1,100,24,2,2,100,5
TAMKK0159,BUF,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100,2
ARIKK0164,ATL,2004,5,0,0,1,1,0,0,0,0,0,0,1,1,100,27,1,1,100,4
HOUKK0128,ARI,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100,4
OAKKK0160,OAK,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100,2
NORKK0074,TAM,2004,5,0,0,1,1,0,0,0,1,1,1,2,3,66.7,53,2,2,100,8
SDGKK0106,HOU,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100,4
CLEKK0160,DAL,2004,5,0,0,0,0,0,0,1,1,0,1,1,2,50,41,1,1,100,4
ATLKK0158,IND,2004,5,0,0,0,0,0,0,0,1,0,0,0,1,0,N/A,5,5,100,5
MIAKK0143,SDG,2004,5,0,0,2,2,0,0,0,0,0,0,2,2,100,28,4,4,100,10
JACKK0160,JAC,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100,3
BALKK0049,MIN,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
NYGKK0161,SEA,2004,5,0,0,0,0,1,1,1,2,0,0,2,3,66.7,48,3,3,100,9
SFOKK0111,PIT,2004,5,0,0,1,1,0,0,1,1,0,0,2,2,100,47,4,4,100,10
BALKK0028,BAL,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
SFOKK0159,CLE,2004,5,0,0,1,1,1,1,1,1,0,0,3,3,100,46,2,2,100,11
NORKK0133,CAR,2004,5,0,0,0,0,0,0,0,0,1,2,1,2,50,53,2,2,100,5
DETKK0144,DET,2004,5,0,0,1,1,0,0,0,1,0,0,1,2,50,23,2,2,100,5
INDKK0117,BAL,2004,5,0,0,0,0,1,1,0,0,0,0,1,1,100,33,2,2,100,5
NYGKK0016,NYG,2004,5,0,0,1,1,1,1,1,1,1,1,4,4,100,51,2,2,100,14
TENKK0016,TEN,2004,5,0,0,0,0,2,2,0,1,0,0,2,3,66.7,38,6,6,100,12
NORKK0106,NOR,2004,5,0,0,0,0,0,0,1,1,0,0,1,1,100,47,2,2,100,5
ATLKK0089,DEN,2004,5,0,0,0,0,2,2,0,0,0,0,2,2,100,33,2,2,100,8
CHIKK0019,NYJ,2004,5,0,0,0,1,3,3,0,0,0,0,3,4,75,38,1,1,100,10
MINKK0143,GNB,2004,5,0,0,0,0,1,1,0,0,1,1,2,2,100,53,3,3,100,9
WASKK0036,WAS,2004,5,0,0,1,1,0,0,0,0,0,0,1,1,100,26,1,1,100,4
INDKK0180,NWE,2004,5,0,0,0,0,0,0,1,2,0,0,1,2,50,40,3,3,100,6
STLKK0064,STL,2004,5,0,0,0,0,2,2,0,0,0,0,2,2,100,39,3,3,100,9
ATLKK0032,SFO,2004,5,0,0,0,0,2,2,1,1,0,0,3,3,100,42,0,0,N/A,9
ATLKK0062,MIN,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100,4
CLEKK0160,DAL,2004,6,0,0,0,0,1,1,1,1,0,0,2,2,100,47,2,2,100,8
ATLKK0158,MIA,2004,6,0,0,1,1,0,0,1,1,0,0,2,2,100,47,1,1,100,7
NORKK0165,CIN,2004,6,0,0,0,0,1,1,0,1,0,0,1,2,50,32,2,2,100,5
ARIKK0164,ATL,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100,3
MINKK0047,CHI,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100,46,1,1,100,4
TAMKK0159,BUF,2004,6,0,0,1,1,0,0,1,2,0,0,2,3,66.7,43,2,2,100,8
SFOKK0111,PIT,2004,6,0,0,0,0,0,0,0,0,1,1,1,1,100,51,3,3,100,6
NYGKK0161,SEA,2004,6,0,0,1,1,2,2,1,1,0,0,4,4,100,40,0,0,N/A,12
NYGKK0145,KAN,2004,6,0,0,0,0,1,1,0,1,0,0,1,2,50,31,1,2,50,4
WASKK0010,WAS,2004,6,0,0,1,1,0,0,1,1,0,0,2,2,100,41,1,1,100,7
JACKK0160,JAC,2004,6,0,0,0,0,0,0,0,0,0,1,0,1,0,N/A,2,2,100,2
MIAKK0143,SDG,2004,6,0,0,1,1,0,0,0,0,1,1,2,2,100,53,2,2,100,8
BALKK0049,MIN,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
