STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,rec_Tgt,rec_Yds,rec_YPR,rec_Lng,rec_TD,KR,KR_Yds,KR_Avg,KR_Long,KR_TD,PR,PR_Yds,PR_Avg,PR_Long,PR_TD,Fum,FumLOST
CARWR0109,CAR,2001,3,1,N/A,-1,-1,-1,0,1,19,19,19,0,1,22,22,22,0,0,0
CLEWR0437,NYG,2001,3,2,N/A,60,30,46,1,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0231,IND,2001,3,5,N/A,57,11.4,22,0,1,13,13,13,0,0,0,N/A,N/A,0,0,0
WASWR0101,TAM,2001,3,3,N/A,54,18,35,0,0,0,0,0,0,0,0,0,0,0,0,0
SFOWR0699,MIN,2001,3,5,N/A,86,17.2,39,0,0,0,0,0,0,0,0,0,0,0,0,0
MIAWR0129,MIN,2001,3,5,N/A,62,12.4,24,1,0,0,0,0,0,0,0,0,0,0,0,0
PITWR0650,PIT,2001,3,9,N/A,79,8.8,17,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEWR0028,CLE,2001,3,3,N/A,34,11.3,18,0,0,0,0,0,0,0,0,0,0,0,0,0
DETWR0382,GNB,2001,3,4,N/A,49,12.3,21,1,0,0,0,0,0,0,0,0,0,0,0,0
OAKWR0377,SDG,2001,3,1,N/A,7,7,7,0,0,0,N/A,N/A,0,4,24,6,7,0,0,0
NWEWR0098,CAR,2001,3,4,N/A,52,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLWR0554,ATL,2001,3,2,N/A,33,16.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0
INDWR0352,IND,2001,3,3,N/A,15,5,7,0,5,104,20.8,26,0,2,4,2,2,0,0,0
DENWR0343,CLE,2001,3,2,N/A,32,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0
PHIWR0215,PHI,2001,3,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANWR0294,WAS,2001,3,5,N/A,55,11,26,1,0,0,0,0,0,0,0,0,0,0,0,0
SEAWR0450,SEA,2001,3,5,N/A,78,15.6,21,0,0,0,0,0,0,0,0,0,0,0,0,0
