STATS,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,REC_Tgt,REC_Yds,REC_YPR,REC_Lng,REC_TD,RUN_Att,RUN_Yds,RUN_YPA,RUN_Lng,RUN_TD,Fum,FumLost
DALTE0037,DAL,2001,4,1,N/A,4,4,4,0,0,0,N/A,N/A,0,0,0
NWETE0246,ATL,2001,4,2,N/A,46,23,30,0,0,0,N/A,N/A,0,1,1
TENTE0111,TEN,2001,4,1,N/A,4,4,4,0,0,0,N/A,N/A,0,0,0
BUFTE0208,GNB,2001,4,2,N/A,33,16.5,24,0,0,0,N/A,N/A,0,0,0
DALTE0020,DAL,2001,4,1,N/A,4,4,4,0,0,0,N/A,N/A,0,0,0
CLETE0122,CLE,2001,4,1,N/A,10,10,10,0,0,0,N/A,N/A,0,0,0
TENTE0151,TEN,2001,4,7,N/A,75,10.7,14,0,0,0,N/A,N/A,0,0,0
SFOTE0040,SFO,2001,4,1,N/A,12,12,12,0,0,0,N/A,N/A,0,0,0
NYJTE0151,GNB,2001,4,1,N/A,8,8,8,0,0,0,N/A,N/A,0,0,0
KANTE0271,NYJ,2001,4,3,N/A,21,7,17,1,0,0,N/A,N/A,0,0,0
CARTE0005,CAR,2001,4,1,N/A,13,13,13,0,0,0,N/A,N/A,0,0,0
PHITE0119,PHI,2001,4,4,N/A,38,9.5,14,0,0,0,N/A,N/A,0,1,0
TENTE0085,TEN,2001,4,2,N/A,36,18,27,0,0,0,N/A,N/A,0,0,0
NWETE0171,JAC,2001,4,1,N/A,8,8,8,0,0,0,N/A,N/A,0,0,0
HOUTE0096,PIT,2001,4,1,N/A,15,15,15,0,0,0,N/A,N/A,0,0,0
CARTE0157,SEA,2001,4,1,N/A,5,5,5,0,0,0,N/A,N/A,0,0,0
STLTE0092,STL,2001,4,1,N/A,5,5,5,0,0,0,N/A,N/A,0,0,0
DALTE0044,CIN,2001,4,1,N/A,7,7,7,0,0,0,N/A,N/A,0,0,0
DENTE0059,BAL,2001,4,3,N/A,57,19,32,0,0,0,N/A,N/A,0,0,0
TAMTE0152,TAM,2001,4,3,N/A,18,6,7,0,0,0,N/A,N/A,0,0,0
PHITE0041,PHI,2001,4,2,N/A,8,4,7,0,0,0,N/A,N/A,0,0,0
CHITE0033,CHI,2001,4,2,N/A,9,4.5,6,0,0,0,N/A,N/A,0,0,0
NORTE0037,DET,2001,4,2,N/A,35,17.5,24,0,0,0,N/A,N/A,0,0,0
PITTE0054,BUF,2001,4,4,N/A,35,8.8,16,1,0,0,N/A,N/A,0,0,0
ARITE0069,SDG,2001,4,3,N/A,23,7.7,13,0,0,0,N/A,N/A,0,0,0
ATLTE0305,KAN,2001,4,8,N/A,129,16.1,35,0,0,0,N/A,N/A,0,0,0
JACTE0008,JAC,2001,4,1,N/A,18,18,18,0,0,0,N/A,N/A,0,0,0
TAMTE0070,CLE,2001,4,3,N/A,63,21,27,0,0,0,N/A,N/A,0,0,0
WASTE0020,CIN,2001,4,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
JACTE0047,DET,2001,4,3,N/A,13,4.3,5,0,0,0,N/A,N/A,0,0,0
WASTE0047,MIN,2001,4,2,N/A,48,24,29,1,0,0,N/A,N/A,0,0,0
NORTE0116,STL,2001,4,4,N/A,22,5.5,8,1,0,0,N/A,N/A,0,0,0
GNBTE0082,CAR,2001,4,10,N/A,91,9.1,15,1,0,0,N/A,N/A,0,0,0
CLETE0221,SDG,2001,5,1,N/A,3,3,3,1,0,0,N/A,N/A,0,0,0
ARITE0141,PIT,2001,5,1,N/A,23,23,23,0,0,0,N/A,N/A,0,0,0
CHITE0210,DEN,2001,5,2,N/A,17,8.5,9,0,0,0,N/A,N/A,0,0,0
MINTE0282,MIN,2001,5,0,N/A,0,N/A,N/A,0,1,2,2,2,0,0,0
