26024,Travaris Cadet,RB,NOR
27505,Willie Carter,RB,CHI
8850,Jamaal Charles,RB,KAN
24769,Tyler Clutts,RB,DAL
9098,Jed Collins,RB,DET
27148,Jamaine Cook,RB,CLE
27167,Benny Cunningham,RB,STL
27271,Alex Debniak,RB,SFO
24760,James Develin,RB,NWE
24149,Anthony Dixon,RB,BUF
24164,Jonathan Dwyer,RB,ARI
25867,Bradie Ewing,RB,JAC
9392,Tony Fiammetta,RB,CHI
8821,Matt Forte,RB,CHI
26748,Johnathan Franklin,RB,GNB
24026,Toby Gerhart,RB,JAC
9375,Mike Goodson,RB,NYJ
27310,Ray Graham,RB,HOU
26273,Jonas Gray,RB,NWE
9039,BenJarvus Green-Ellis,RB,CIN
26488,Jonathan Grimes,RB,HOU
25117,DuJuan Harris,RB,GNB
24892,Roy Helu Jr.,RB,WAS
26925,Michael Hill,RB,GNB
25777,Ronnie Hillman,RB,DEN
24902,Kendall Hunter,RB,SFO
24815,Mark Ingram,RB,NOR
24400,Chris Ivory,RB,NYJ
6783,Steven Jackson,RB,ATL
26812,Mike James,RB,TAM
26601,Austin Johnson,RB,NOR
27311,Dennis Johnson,RB,HOU
25706,Will Johnson,RB,PIT
26753,Kyle Juszczyk,RB,BAL
26684,Eddie Lacy,RB,GNB
24844,Mikel Leshoure,RB,DET
27249,Ina Liaina,RB,GNB
24229,Erik Lorig,RB,NOR
27250,Cameron Marshall,RB,MIA
23987,Ryan Mathews,RB,SDG
9317,LeSean McCoy,RB,PHI
24087,Joe McKnight,RB,KAN
24998,Bruce Miller,RB,SFO
27189,Steven Miller,RB,DET
9276,Knowshon Moreno,RB,MIA
24858,DeMarco Murray,RB,DAL
9475,Chris Ogbonnaya,RB,CLE
27431,Toben Opurum,RB,HOU
25760,Isaiah Pead,RB,STL
8261,Adrian Peterson,RB,MIN
26006,Chris Polk,RB,PHI
24913,Bilal Powell,RB,NYJ
26455,Bobby Rainey,RB,TAM
27132,Bradley Randle,RB,MIN
9158,Marcel Reece,RB,OAK
8832,Ray Rice,RB,BAL
25713,Trent Richardson,RB,IND
24860,Stevan Ridley,RB,NWE
24932,Jacquizz Rodgers,RB,ATL
24964,Evan Royster,RB,WAS
9671,Kory Sheets,RB,OAK
9707,Antone Smith,RB,ATL
27500,Orwin Smith,RB,GNB
23984,C.J. Spiller,RB,BUF
26783,Zac Stacy,RB,STL
26007,Jeremy Stewart,RB,OAK
9433,Frank Summers,RB,BUF
24033,Ben Tate,RB,CLE
25694,Marcus Thigpen,RB,MIA
8561,Pierre Thomas,RB,NOR
24970,Jordan Todman,RB,JAC
27057,Matthew Tucker,RB,PHI
25816,Robert Turbin,RB,SEA
24843,Shane Vereen,RB,NWE
7866,Leon Washington,RB,TEN
7776,DeAngelo Williams,RB,CAR
26853,Kerwynn Williams,RB,SDG
25742,David Wilson,RB,NYG
27313,Cierre Wood,RB,BAL
9666,Darrel Young,RB,WAS
25012,Anthony Allen,RB,BUF
25238,Matt Asiata,RB,MIN
26681,Montee Ball,RB,DEN
26079,Joe Banyard,RB,MIN
8739,Jackie Battle,RB,TEN
